value
"39,512,223"
"28,995,881"
"21,477,737"
"19,453,561"
"12,801,989"
"12,671,821"
"11,689,100"
"10,617,423"
"10,488,084"
"9,986,857"
"8,882,190"
"8,535,519"
"7,614,893"
"7,278,717"
"6,949,503"
"6,833,174"
"6,732,219"
"6,137,428"
"6,045,680"
"5,822,434"
"5,758,736"
"5,639,632"
"5,148,714"
"4,903,185"
"4,648,794"
"4,467,673"
"4,217,737"
"3,956,971"
"3,565,287"
"3,205,958"
"3,193,694"
"3,155,070"
"3,080,156"
"3,017,825"
"2,976,149"
"2,913,314"
"2,096,829"
"1,934,408"
"1,787,065"
"1,792,147"
"1,415,872"
"1,359,711"
"1,344,212"
"1,068,778"
"1,059,361"
"973,764"
"884,659"
"762,062"
"731,545"
"705,749"
"623,989"
"578,759"
